STUDENT_ID,SEX,MAJOR_1,MAJOR_2,INTENDED_LANGUAGE,SECTION_ID
S_001,M,Psychology,,Undecided,C_002
S_001,M,Psychology,,Undecided,C_006
S_001,M,Psychology,,Undecided,C_009
S_001,M,Psychology,,Undecided,C_011
S_001,M,Psychology,,Undecided,C_012
S_001,M,Psychology,,Undecided,C_014
S_002,M,Environmental Studies,,Spanish,C_004
S_002,M,Environmental Studies,,Spanish,C_005
S_002,M,Environmental Studies,,Spanish,C_010
S_002,M,Environmental Studies,,Spanish,C_013
S_002,M,Environmental Studies,,Spanish,C_018
S_002,M,Environmental Studies,,Spanish,C_019
S_003,F,International Business,,Spanish,C_007
S_003,F,International Business,,Spanish,C_009
S_003,F,International Business,,Spanish,C_010
S_003,F,International Business,,Spanish,C_015
S_003,F,International Business,,Spanish,C_016
S_003,F,International Business,,Spanish,C_019
S_004,F,Marketing,,Spanish,C_001
S_004,F,Marketing,,Spanish,C_005
S_004,F,Marketing,,Spanish,C_010
S_004,F,Marketing,,Spanish,C_014
S_004,F,Marketing,,Spanish,C_017
S_004,F,Marketing,,Spanish,C_020
S_005,M,Marine Science,,Spanish,C_001
S_005,M,Marine Science,,Spanish,C_004
S_005,M,Marine Science,,Spanish,C_014
S_005,M,Marine Science,,Spanish,C_015
S_005,M,Marine Science,,Spanish,C_017
S_005,M,Marine Science,,Spanish,C_019
S_006,F,Psychology,,Undecided,C_001
S_006,F,Psychology,,Undecided,C_003
S_006,F,Psychology,,Undecided,C_006
S_006,F,Psychology,,Undecided,C_011
S_006,F,Psychology,,Undecided,C_012
S_006,F,Psychology,,Undecided,C_014
S_007,F,Animal Studies,,Undecided,C_004
S_007,F,Animal Studies,,Undecided,C_005
S_007,F,Animal Studies,,Undecided,C_007
S_007,F,Animal Studies,,Undecided,C_011
S_007,F,Animal Studies,,Undecided,C_014
S_007,F,Animal Studies,,Undecided,C_020
S_008,M,Marine Science,,Undecided,C_007
S_008,M,Marine Science,,Undecided,C_011
S_008,M,Marine Science,,Undecided,C_013
S_008,M,Marine Science,,Undecided,C_017
S_008,M,Marine Science,,Undecided,C_019
S_008,M,Marine Science,,Undecided,C_020
S_009,F,Marine Science,,Spanish,C_005
S_009,F,Marine Science,,Spanish,C_007
S_009,F,Marine Science,,Spanish,C_010
S_009,F,Marine Science,,Spanish,C_016
S_009,F,Marine Science,,Spanish,C_018
S_009,F,Marine Science,,Spanish,C_019
S_010,F,Marine Science,,Undecided,C_001
S_010,F,Marine Science,,Undecided,C_004
S_010,F,Marine Science,,Undecided,C_005
S_010,F,Marine Science,,Undecided,C_010
S_010,F,Marine Science,,Undecided,C_014
S_010,F,Marine Science,,Undecided,C_018
S_011,M,Undecided,,French,C_005
S_011,M,Undecided,,French,C_007
S_011,M,Undecided,,French,C_010
S_011,M,Undecided,,French,C_012
S_011,M,Undecided,,French,C_014
S_011,M,Undecided,,French,C_017
S_012,F,Marine Science,,Spanish,C_003
S_012,F,Marine Science,,Spanish,C_007
S_012,F,Marine Science,,Spanish,C_008
S_012,F,Marine Science,,Spanish,C_011
S_012,F,Marine Science,,Spanish,C_015
S_012,F,Marine Science,,Spanish,C_019
S_013,F,Business Administration,,Undecided,C_001
S_013,F,Business Administration,,Undecided,C_002
S_013,F,Business Administration,,Undecided,C_004
S_013,F,Business Administration,,Undecided,C_014
S_013,F,Business Administration,,Undecided,C_016
S_013,F,Business Administration,,Undecided,C_019
S_014,F,Marine Science,Biology,Spanish,C_001
S_014,F,Marine Science,Biology,Spanish,C_004
S_014,F,Marine Science,Biology,Spanish,C_006
S_014,F,Marine Science,Biology,Spanish,C_011
S_014,F,Marine Science,Biology,Spanish,C_015
S_014,F,Marine Science,Biology,Spanish,C_019
S_015,F,Marine Science,Sociology,Spanish,C_004
S_015,F,Marine Science,Sociology,Spanish,C_008
S_015,F,Marine Science,Sociology,Spanish,C_015
S_015,F,Marine Science,Sociology,Spanish,C_016
S_015,F,Marine Science,Sociology,Spanish,C_017
S_015,F,Marine Science,Sociology,Spanish,C_019
S_016,F,Marine Science,,Spanish,C_004
S_016,F,Marine Science,,Spanish,C_013
S_016,F,Marine Science,,Spanish,C_014
S_016,F,Marine Science,,Spanish,C_015
S_016,F,Marine Science,,Spanish,C_016
S_016,F,Marine Science,,Spanish,C_019
S_017,M,Marine Science,Environmental Studies,Undecided,C_003
S_017,M,Marine Science,Environmental Studies,Undecided,C_004
S_017,M,Marine Science,Environmental Studies,Undecided,C_008
S_017,M,Marine Science,Environmental Studies,Undecided,C_011
S_017,M,Marine Science,Environmental Studies,Undecided,C_014
S_017,M,Marine Science,Environmental Studies,Undecided,C_019
S_018,F,Undecided,,Undecided,C_003
S_018,F,Undecided,,Undecided,C_008
S_018,F,Undecided,,Undecided,C_009
S_018,F,Undecided,,Undecided,C_011
S_018,F,Undecided,,Undecided,C_012
S_018,F,Undecided,,Undecided,C_019
S_019,F,Marine Science,,Undecided,C_003
S_019,F,Marine Science,,Undecided,C_005
S_019,F,Marine Science,,Undecided,C_008
S_019,F,Marine Science,,Undecided,C_009
S_019,F,Marine Science,,Undecided,C_014
S_019,F,Marine Science,,Undecided,C_019
S_020,M,Biology,,Undecided,C_004
S_020,M,Biology,,Undecided,C_007
S_020,M,Biology,,Undecided,C_008
S_020,M,Biology,,Undecided,C_012
S_020,M,Biology,,Undecided,C_016
S_020,M,Biology,,Undecided,C_019
S_021,F,Animal Studies,,Spanish,C_002
S_021,F,Animal Studies,,Spanish,C_003
S_021,F,Animal Studies,,Spanish,C_005
S_021,F,Animal Studies,,Spanish,C_007
S_021,F,Animal Studies,,Spanish,C_011
S_021,F,Animal Studies,,Spanish,C_014
S_022,F,Marine Science,,Greek,C_001
S_022,F,Marine Science,,Greek,C_003
S_022,F,Marine Science,,Greek,C_005
S_022,F,Marine Science,,Greek,C_007
S_022,F,Marine Science,,Greek,C_012
S_022,F,Marine Science,,Greek,C_015
S_023,F,Film Studies,Pre-Veterinary,French,C_003
S_023,F,Film Studies,Pre-Veterinary,French,C_005
S_023,F,Film Studies,Pre-Veterinary,French,C_010
S_023,F,Film Studies,Pre-Veterinary,French,C_017
S_023,F,Film Studies,Pre-Veterinary,French,C_018
S_023,F,Film Studies,Pre-Veterinary,French,C_020
S_024,F,Marine Science,Creative Writing,Spanish,C_001
S_024,F,Marine Science,Creative Writing,Spanish,C_004
S_024,F,Marine Science,Creative Writing,Spanish,C_008
S_024,F,Marine Science,Creative Writing,Spanish,C_011
S_024,F,Marine Science,Creative Writing,Spanish,C_014
S_024,F,Marine Science,Creative Writing,Spanish,C_019
S_025,F,Undecided,,Spanish,C_003
S_025,F,Undecided,,Spanish,C_004
S_025,F,Undecided,,Spanish,C_008
S_025,F,Undecided,,Spanish,C_009
S_025,F,Undecided,,Spanish,C_016
S_025,F,Undecided,,Spanish,C_019
S_026,F,Psychology,,Spanish,C_001
S_026,F,Psychology,,Spanish,C_004
S_026,F,Psychology,,Spanish,C_011
S_026,F,Psychology,,Spanish,C_015
S_026,F,Psychology,,Spanish,C_019
S_026,F,Psychology,,Spanish,C_020
S_027,M,Marine Science,Visual Arts,Spanish,C_007
S_027,M,Marine Science,Visual Arts,Spanish,C_008
S_027,M,Marine Science,Visual Arts,Spanish,C_011
S_027,M,Marine Science,Visual Arts,Spanish,C_014
S_027,M,Marine Science,Visual Arts,Spanish,C_015
S_027,M,Marine Science,Visual Arts,Spanish,C_019
S_028,F,Marine Science,Animal Studies,Spanish,C_001
S_028,F,Marine Science,Animal Studies,Spanish,C_004
S_028,F,Marine Science,Animal Studies,Spanish,C_009
S_028,F,Marine Science,Animal Studies,Spanish,C_011
S_028,F,Marine Science,Animal Studies,Spanish,C_016
S_028,F,Marine Science,Animal Studies,Spanish,C_019
S_029,M,Environmental Studies,,Undecided,C_004
S_029,M,Environmental Studies,,Undecided,C_008
S_029,M,Environmental Studies,,Undecided,C_012
S_029,M,Environmental Studies,,Undecided,C_015
S_029,M,Environmental Studies,,Undecided,C_017
S_029,M,Environmental Studies,,Undecided,C_019
S_030,F,Biology,,Undecided,C_003
S_030,F,Biology,,Undecided,C_005
S_030,F,Biology,,Undecided,C_008
S_030,F,Biology,,Undecided,C_011
S_030,F,Biology,,Undecided,C_018
S_030,F,Biology,,Undecided,C_019
S_031,F,Physics,Music,Undecided,C_002
S_031,F,Physics,Music,Undecided,C_005
S_031,F,Physics,Music,Undecided,C_008
S_031,F,Physics,Music,Undecided,C_011
S_031,F,Physics,Music,Undecided,C_016
S_031,F,Physics,Music,Undecided,C_019
S_032,M,Theatre,,Undecided,C_002
S_032,M,Theatre,,Undecided,C_007
S_032,M,Theatre,,Undecided,C_009
S_032,M,Theatre,,Undecided,C_014
S_032,M,Theatre,,Undecided,C_018
S_032,M,Theatre,,Undecided,C_020
S_033,F,Marine Science,,Undecided,C_003
S_033,F,Marine Science,,Undecided,C_004
S_033,F,Marine Science,,Undecided,C_010
S_033,F,Marine Science,,Undecided,C_012
S_033,F,Marine Science,,Undecided,C_016
S_033,F,Marine Science,,Undecided,C_019
S_034,F,Visual Arts,,Japanese,C_003
S_034,F,Visual Arts,,Japanese,C_009
S_034,F,Visual Arts,,Japanese,C_011
S_034,F,Visual Arts,,Japanese,C_012
S_034,F,Visual Arts,,Japanese,C_015
S_034,F,Visual Arts,,Japanese,C_016
S_035,F,Marine Science,,Italian,C_004
S_035,F,Marine Science,,Italian,C_007
S_035,F,Marine Science,,Italian,C_008
S_035,F,Marine Science,,Italian,C_010
S_035,F,Marine Science,,Italian,C_019
S_036,F,Animal Studies,,French,C_003
S_036,F,Animal Studies,,French,C_005
S_036,F,Animal Studies,,French,C_009
S_036,F,Animal Studies,,French,C_013
S_036,F,Animal Studies,,French,C_014
S_036,F,Animal Studies,,French,C_018
S_037,F,Marine Science,,Spanish,C_003
S_037,F,Marine Science,,Spanish,C_008
S_037,F,Marine Science,,Spanish,C_009
S_037,F,Marine Science,,Spanish,C_014
S_037,F,Marine Science,,Spanish,C_015
S_037,F,Marine Science,,Spanish,C_016
S_038,F,Business Administration,,Undecided,C_001
S_038,F,Business Administration,,Undecided,C_009
S_038,F,Business Administration,,Undecided,C_012
S_038,F,Business Administration,,Undecided,C_016
S_038,F,Business Administration,,Undecided,C_017
S_038,F,Business Administration,,Undecided,C_019
S_039,F,Marine Science,Spanish,Undecided,C_002
S_039,F,Marine Science,Spanish,Undecided,C_007
S_039,F,Marine Science,Spanish,Undecided,C_011
S_039,F,Marine Science,Spanish,Undecided,C_012
S_039,F,Marine Science,Spanish,Undecided,C_014
S_039,F,Marine Science,Spanish,Undecided,C_015
S_040,F,Psychology,Spanish,Undecided,C_003
S_040,F,Psychology,Spanish,Undecided,C_005
S_040,F,Psychology,Spanish,Undecided,C_012
S_040,F,Psychology,Spanish,Undecided,C_013
S_040,F,Psychology,Spanish,Undecided,C_014
S_040,F,Psychology,Spanish,Undecided,C_019
S_041,F,Marine Science,Philosophy,Undecided,C_005
S_041,F,Marine Science,Philosophy,Undecided,C_008
S_041,F,Marine Science,Philosophy,Undecided,C_009
S_041,F,Marine Science,Philosophy,Undecided,C_014
S_041,F,Marine Science,Philosophy,Undecided,C_016
S_041,F,Marine Science,Philosophy,Undecided,C_018
S_042,F,Biology,Animal Studies,Spanish,C_002
S_042,F,Biology,Animal Studies,Spanish,C_007
S_042,F,Biology,Animal Studies,Spanish,C_010
S_042,F,Biology,Animal Studies,Spanish,C_013
S_042,F,Biology,Animal Studies,Spanish,C_015
S_043,F,Marine Science,Animal Studies,Spanish,C_004
S_043,F,Marine Science,Animal Studies,Spanish,C_007
S_043,F,Marine Science,Animal Studies,Spanish,C_008
S_043,F,Marine Science,Animal Studies,Spanish,C_012
S_043,F,Marine Science,Animal Studies,Spanish,C_016
S_043,F,Marine Science,Animal Studies,Spanish,C_019
S_044,M,Environmental Studies,,French,C_001
S_044,M,Environmental Studies,,French,C_004
S_044,M,Environmental Studies,,French,C_005
S_044,M,Environmental Studies,,French,C_007
S_044,M,Environmental Studies,,French,C_011
S_044,M,Environmental Studies,,French,C_017
S_045,F,Undecided,,Undecided,C_005
S_045,F,Undecided,,Undecided,C_007
S_045,F,Undecided,,Undecided,C_008
S_045,F,Undecided,,Undecided,C_009
S_045,F,Undecided,,Undecided,C_010
S_045,F,Undecided,,Undecided,C_011
S_046,M,Environmental Studies,,Italian,C_001
S_046,M,Environmental Studies,,Italian,C_003
S_046,M,Environmental Studies,,Italian,C_007
S_046,M,Environmental Studies,,Italian,C_013
S_046,M,Environmental Studies,,Italian,C_015
S_046,M,Environmental Studies,,Italian,C_019
S_047,M,Marine Science,Animal Studies,Undecided,C_002
S_047,M,Marine Science,Animal Studies,Undecided,C_003
S_047,M,Marine Science,Animal Studies,Undecided,C_006
S_047,M,Marine Science,Animal Studies,Undecided,C_007
S_047,M,Marine Science,Animal Studies,Undecided,C_014
S_047,M,Marine Science,Animal Studies,Undecided,C_015
S_048,F,Marine Science,Environmental Studies,Undecided,C_003
S_048,F,Marine Science,Environmental Studies,Undecided,C_004
S_048,F,Marine Science,Environmental Studies,Undecided,C_008
S_048,F,Marine Science,Environmental Studies,Undecided,C_014
S_048,F,Marine Science,Environmental Studies,Undecided,C_018
S_048,F,Marine Science,Environmental Studies,Undecided,C_019
S_049,F,Marine Science,Animal Studies,Spanish,C_004
S_049,F,Marine Science,Animal Studies,Spanish,C_005
S_049,F,Marine Science,Animal Studies,Spanish,C_008
S_049,F,Marine Science,Animal Studies,Spanish,C_014
S_049,F,Marine Science,Animal Studies,Spanish,C_019
S_050,F,Film Studies,Mathematics,Greek,C_005
S_050,F,Film Studies,Mathematics,Greek,C_006
S_050,F,Film Studies,Mathematics,Greek,C_007
S_050,F,Film Studies,Mathematics,Greek,C_010
S_050,F,Film Studies,Mathematics,Greek,C_013
S_050,F,Film Studies,Mathematics,Greek,C_014
S_051,F,Pre-Medicine,,French,C_007
S_051,F,Pre-Medicine,,French,C_009
S_051,F,Pre-Medicine,,French,C_010
S_051,F,Pre-Medicine,,French,C_011
S_051,F,Pre-Medicine,,French,C_014
S_051,F,Pre-Medicine,,French,C_016
S_052,M,Marine Science,,French,C_002
S_052,M,Marine Science,,French,C_012
