"STUDENT_ID","SEX","MAJOR_1","MAJOR_2","INTENDED_LANGUAGE","SECTION_ID","PROF_ID","PROF_DISCIPLINE","DISCIPLINE_SIZE","PROF_LANGUAGE"
"S_001","M","Psychology","","Undecided","C_006","P_006","Italian","N/A","Italian"
"S_002","M","Environmental Studies","","Spanish","C_018","P_018","Humanities","SMALL","Greek"
"S_003","F","International Business","","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_004","F","Marketing","","Spanish","C_017","P_017","Philosophy","SMALL","N/A"
"S_005","M","Marine Science","","Spanish","C_001","P_001","Management","MEDIUM","N/A"
"S_006","F","Psychology","","Undecided","C_006","P_006","Italian","N/A","Italian"
"S_007","F","Animal Studies","","Undecided","C_004","P_004","Humanities","SMALL","Greek"
"S_008","M","Marine Science","","Undecided","C_013","P_013","Computer Science","SMALL","N/A"
"S_009","F","Marine Science","","Spanish","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_010","F","Marine Science","","Undecided","C_001","P_001","Management","MEDIUM","N/A"
"S_011","M","Undecided","","French","C_014","P_014","History","SMALL","N/A"
"S_012","F","Marine Science","","Spanish","C_008","P_008","Economics","SMALL","N/A"
"S_013","F","Business Administration","","Undecided","C_001","P_001","Management","MEDIUM","N/A"
"S_014","F","Marine Science","Biology","Spanish","C_019","P_019","Biology","BIG","N/A"
"S_015","F","Marine Science","Sociology","Spanish","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_016","F","Marine Science","","Spanish","C_013","P_013","Computer Science","SMALL","N/A"
"S_017","M","Marine Science","Environmental Studies","Undecided","C_003","P_003","Political Science","MEDIUM","N/A"
"S_018","F","Undecided","","Undecided","C_009","P_009","French","SMALL","French"
"S_019","F","Marine Science","","Undecided","C_003","P_003","Political Science","MEDIUM","N/A"
"S_020","M","Biology","","Undecided","C_007","P_007","Theatre","SMALL","N/A"
"S_021","F","Animal Studies","","Spanish","C_002","P_002","Rhetoric","N/A","N/A"
"S_022","F","Marine Science","","Greek","C_012","P_012","Rhetoric","N/A","N/A"
"S_023","F","Film Studies","Pre-Veterinary","French","C_003","P_003","Political Science","MEDIUM","N/A"
"S_024","F","Marine Science","Creative Writing","Spanish","C_011","P_011","Literature","SMALL","N/A"
"S_025","F","Undecided","","Spanish","C_009","P_009","French","SMALL","French"
"S_026","F","Psychology","","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_027","M","Marine Science","Visual Arts","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_028","F","Marine Science","Animal Studies","Spanish","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_029","M","Environmental Studies","","Undecided","C_017","P_017","Philosophy","SMALL","N/A"
"S_030","F","Biology","","Undecided","C_019","P_019","Biology","BIG","N/A"
"S_031","F","Physics","Music","Undecided","C_002","P_002","Rhetoric","N/A","N/A"
"S_032","M","Theatre","","Undecided","C_007","P_007","Theatre","SMALL","N/A"
